﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
PE,RECIFE,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (2835),5,"TIPOS DE CONCORRÊNCIA Ampla",726.48,657.66,700.26
PE,RECIFE,MEDICINA,FACULDADE PERNAMBUCANA DE SAÚDE (3615),5,"TIPOS DE CONCORRÊNCIA Ampla",784.56,761.58,724.20
PE,SERRA TALHADA,MEDICINA,FACULDADE DE CIÊNCIAS DA SAÚDE DE SERRA TALHADA (17775),0,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",744.26,702.00,690.84
PE,VITÓRIA DE SANTO ANTÃO,MEDICINA,CENTRO UNIVERSITÁRIO FACOL (1697),5,"TIPOS DE CONCORRÊNCIA Ampla",729.36,665.70,633.64
PI,FLORIANO,MEDICINA,CENTRO UNIVERSITÁRIO FAESF (2413),5,"TIPOS DE CONCORRÊNCIA Ampla",739.50,687.02,667.44
PI,PARNAÍBA,MEDICINA, AFYA FACULDADE DE PARNAÍBA (17565),4,"TIPOS DE CONCORRÊNCIA Ampla",746.72,668.70,641.88
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO FACID WYDEN (1734),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",773.24,689.22,695.50
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU TERESINA SUL (4197),5,,,669.84,
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO SANTO AGOSTINHO (1131),5,,,696.26,696.50
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO TECNOLÓGICO DE TERESINA UNI*CET (3337),3,"TIPOS DE CONCORRÊNCIA Ampla",768.08,686.26,672.16
RJ,ANGRA DOS REIS,MEDICINA,UNIVERSIDADE ESTÁCIO DE SÁ (163),4,"TIPOS DE CONCORRÊNCIA Ampla",628.98,549.76,549.72
RJ,BELFORD ROXO,MEDICINA,ABEU - CENTRO UNIVERSITÁRIO (2565),5,"TIPOS DE CONCORRÊNCIA Ampla",596.52,529.98,
RJ,BOM JESUS DO ITABAPOANA,MEDICINA,CENTRO UNIVERSITÁRIO FAMESC (12430),5,"TIPOS DE CONCORRÊNCIA Ampla",679.86,576.00,591.10
RJ,DUQUE DE CAXIAS,MEDICINA,AFYA UNIVERSIDADE UNIGRANRIO (472),4,"TIPOS DE CONCORRÊNCIA Ampla",674.54,581.66,675.46
RJ,ITAPERUNA,MEDICINA,AFYA CENTRO UNIVERSITÁRIO DE ITAPERUNA (2571),4,"TIPOS DE CONCORRÊNCIA Ampla",694.90,626.58,
RJ,ITAPERUNA,MEDICINA,UNIVERSIDADE IGUAÇU (330),5,"TIPOS DE CONCORRÊNCIA Ampla",666.44,576.90,535.94
RJ,NOVA IGUAÇU,MEDICINA,UNIVERSIDADE IGUAÇU (330),4,"TIPOS DE CONCORRÊNCIA Ampla",639.12,555.68,578.96
RJ,PETRÓPOLIS,MEDICINA,FACULDADE DE MEDICINA DE PETRÓPOLIS (475),4,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",723.88,728.36,
RJ,RIO DE JANEIRO,MEDICINA,UNIVERSIDADE CASTELO BRANCO (176),4,"TIPOS DE CONCORRÊNCIA Ampla",669.36,586.24,515.54
RJ,RIO DE JANEIRO,MEDICINA,UNIVERSIDADE ESTÁCIO DE SÁ (163),5,"TIPOS DE CONCORRÊNCIA Ampla",706.48,567.00,
RJ,RIO DE JANEIRO,MEDICINA,UNIVERSIDADE VEIGA DE ALMEIDA (165),5,"TIPOS DE CONCORRÊNCIA Ampla",760.56,658.16,695.14
RJ,TERESÓPOLIS,MEDICINA,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS (480),5,"TIPOS DE CONCORRÊNCIA Ampla",659.32,541.96,615.14
RJ,TRÊS RIOS,MEDICINA,FACULDADE DE CIÊNCIAS MÉDICAS DE TRÊS RIOS (22121),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",757.26,,687.92
RJ,VALENÇA,MEDICINA,CENTRO UNIVERSITÁRIO DE VALENÇA (490),5,"TIPOS DE CONCORRÊNCIA Ampla",681.68,574.42,563.00
RJ,VASSOURAS,MEDICINA,UNIVERSIDADE DE VASSOURAS (140),5,"TIPOS DE CONCORRÊNCIA Ampla",699.86,561.90,560.04
