﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
MA,SÃO LUÍS,MEDICINA,CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO (1885),"TIPOS DE CONCORRÊNCIA Ampla",773.84,715.64,665.8,
MA,SÃO LUÍS,MEDICINA,FACULDADE DE ADMINISTRAÇÃO E TECNOLOGIA ESTÁCIO IDOMED (20110),"TIPOS DE CONCORRÊNCIA Ampla",777.36,630.72,665.04,
MA,SÃO LUÍS,MEDICINA,INSTITUTO DE DESENVOLVIMENTO E APRENDIZAGEM - IDEA SÃO LUIZ (23130),,,,705.8,
MA,SÃO LUÍS,MEDICINA,INSTITUTO FLORENCE DE ENSINO SUPERIOR (3869),,,651.06,,
MA,SÃO LUÍS,MEDICINA,UNIVERSIDADE CEUMA (823),"TIPOS DE CONCORRÊNCIA Ampla",792.72,715.98,730.06,
MT,BARRA DO GARÇAS,MEDICINA,CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA (5670),4,"TIPOS DE CONCORRÊNCIA Ampla",638.62,,
MT,CÁCERES,MEDICINA,CENTRO UNIVERSITÁRIO ESTÁCIO DO PANTANAL (2961),5,"TIPOS DE CONCORRÊNCIA Ampla",644.32,618.16,
MT,SINOP,MEDICINA,FACULDADE DE CIÊNCIAS DA SAÚDE DR. OSWALDO FORTINI - SINOP (26631),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",697.64,586.60,517.30
MT,SORRISO,MEDICINA,FACULDADE ATENAS SORRISO (25223),0,"TIPOS DE CONCORRÊNCIA Ampla",632.48,545.90,557.56
MT,VÁRZEA GRANDE,MEDICINA,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE (794),5,"TIPOS DE CONCORRÊNCIA Ampla",763.70,682.34,665.68
MS,CORUMBÁ,MEDICINA,FACULDADE UNICESUMAR DE CORUMBÁ (24488),5,"TIPOS DE CONCORRÊNCIA Ampla",700.80,639.44,512.10
MS,DOURADOS,MEDICINA,FACULDADE DE MEDICINA UNIDERP DE DOURADOS (26902),5,"TIPOS DE CONCORRÊNCIA Ampla",708.22,636.06,
MG,ALFENAS,MEDICINA,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO (30),5,,,663.20,654.58
MG,ARAGUARI,MEDICINA,CENTRO UNIVERSITÁRIO IMEPAC - ARAGUARI (19512),5,"TIPOS DE CONCORRÊNCIA Ampla",714.04,546.68,592.16
