estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
PR,ARAPONGAS,MEDICINA,FACULDADE HONPAR (22267),4,787.88,670.80,600.44
PR,CAMPO MOURÃO,MEDICINA,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO (1078),4,743.12,662.06,655.28
PR,CASCAVEL,MEDICINA,CENTRO UNIVERSITÁRIO ASSIS GURGACZ (1336),5,759.02,700.96,679.04
PR,CASCAVEL,MEDICINA,CENTRO UNIVERSITÁRIO UNIVEL (918),5,769.76,728.86,700.04
PR,CURITIBA,MEDICINA,UNIVERSIDADE POSITIVO (1042),5,768.70,699.56,710.98
PR,GUARAPUAVA,MEDICINA,CENTRO UNIVERSITÁRIO CAMPO REAL (5511),4,760.38,671.66,716.30
PR,GUARAPUAVA,MEDICINA,CENTRO UNIVERSITÁRIO GUAIRACÁ (3797),4,765.16,647.12,
PR,MARINGÁ,MEDICINA,CENTRO UNIVERSITÁRIO INGÁ (1430),4,739.18,660.36,588.28
PR,MARINGÁ,MEDICINA,UNIVERSIDADE CESUMAR (1196),5,762.56,694.92,738.10
PR,PINHAIS,MEDICINA,CENTRO UNIVERSITÁRIO DE PINHAIS (1535),4,769.10,723.26,675.58
PR,TELÊMACO BORBA,MEDICINA,CENTRO UNIVERSITÁRIO UNIFATEB (1536),5,728.06,664.24,
PR,UMUARAMA,MEDICINA,UNIVERSIDADE PARANAENSE (437),5,768.52,691.70,652.36
PE,CARUARU,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CARUARU (14717),5,776.84,743.94,730.52
PE,CARUARU,MEDICINA,CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA (2409),4,789.02,768.86,763.34
PE,GARANHUNS,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE GARANHUNS (5580),0,758.48,724.00,714.94
PE,GARANHUNS,MEDICINA,FACULDADES INTEGRADAS DE GARANHUNS (701),0,767.98,705.98,
PE,GOIANA,MEDICINA,FACULDADE TIRADENTES DE GOIANA (24459),0,780.68,726.32,673.34
PE,JABOATÃO DOS GUARARAPES,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE JABOATÃO DOS GUARARAPES  (22514),5,764.00,703.58,
PE,OLINDA,MEDICINA,FACULDADE DE MEDICINA DE OLINDA (16879),4,757.86,694.50,677.36
PE,PETROLINA,MEDICINA,FACULDADE DE PETROLINA (692),0,,768.50,
PE,RECIFE,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (2835),5,763.44,694.44,700.00
PE,RECIFE,MEDICINA,FACULDADE PERNAMBUCANA DE SAÚDE (3615),5,795.74,789.80,701.92
PE,SERRA TALHADA,MEDICINA,FACULDADE DE CIÊNCIAS DA SAÚDE DE SERRA TALHADA (17775),0,757.30,711.82,624.54
PI,FLORIANO,MEDICINA,CENTRO UNIVERSITÁRIO FAESF (2413),5,775.94,708.10,
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO FACID WYDEN (1734),5,781.70,710.14,738.44
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU TERESINA SUL (4197),5,773.74,716.36,
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO SANTO AGOSTINHO (1131),5,,718.34,745.32
PI,TERESINA,MEDICINA,CENTRO UNIVERSITÁRIO TECNOLÓGICO DE TERESINA UNI*CET (3337),3,793.42,709.34,737.38
RJ,ANGRA DOS REIS,MEDICINA,UNIVERSIDADE ESTÁCIO DE SÁ (163),4,722.80,654.44,654.34
RJ,BELFORD ROXO,MEDICINA,ABEU - CENTRO UNIVERSITÁRIO (2565),5,703.30,614.78,567.18
RJ,BOM JESUS DO ITABAPOANA,MEDICINA,CENTRO UNIVERSITÁRIO FAMESC (12430),5,742.80,691.14,609.70
RJ,CAMPOS DOS GOYTACAZES,MEDICINA,FACULDADE DE MEDICINA DE CAMPOS (506),5,762.68,671.24,669.84
RJ,DUQUE DE CAXIAS,MEDICINA,AFYA UNIVERSIDADE UNIGRANRIO (472),4,741.14,661.32,625.30
RJ,NOVA IGUAÇU,MEDICINA,UNIVERSIDADE IGUAÇU (330),4,719.52,641.30,608.80
RJ,PETRÓPOLIS,MEDICINA,FACULDADE DE MEDICINA DE PETRÓPOLIS (475),4,775.72,704.38,765.18
RJ,RIO DE JANEIRO,MEDICINA,UNIVERSIDADE CASTELO BRANCO (176),4,748.96,661.18,
RJ,RIO DE JANEIRO,MEDICINA,UNIVERSIDADE ESTÁCIO DE SÁ (163),5,757.22,672.98,745.36
RJ,RIO DE JANEIRO,MEDICINA,UNIVERSIDADE VEIGA DE ALMEIDA (165),5,771.72,670.14,684.58
RJ,TERESÓPOLIS,MEDICINA,CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS (480),5,789.78,647.32,
RJ,TRÊS RIOS,MEDICINA,FACULDADE DE CIÊNCIAS MÉDICAS DE TRÊS RIOS (22121),5,789.48,762.48,
RJ,VALENÇA,MEDICINA,CENTRO UNIVERSITÁRIO DE VALENÇA (490),5,755.60,656.98,665.10
RJ,VASSOURAS,MEDICINA,UNIVERSIDADE DE VASSOURAS (140),5,784.12,738.30,725.10
RJ,VOLTA REDONDA,MEDICINA,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (489),5,783.18,714.78,
RN,MOSSORÓ,MEDICINA,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN (4431),5,770.12,708.48,689.36
RN,NATAL,MEDICINA,CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE (1264),5,761.38,697.62,726.44
RN,NATAL,MEDICINA,UNIVERSIDADE POTIGUAR (718),4,759.68,699.18,723.56
RS,CACHOEIRINHA,MEDICINA,CENTRO UNIVERSITÁRIO CESUCA (3443),5,780.74,697.56,581.94
RS,CANOAS,MEDICINA,UNIVERSIDADE LUTERANA DO BRASIL (449),4,766.06,716.94,501.20
RS,CAXIAS DO SUL,MEDICINA,CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (1427),5,762.38,665.72,743.50
